feature,importance
alpha003__lag_09,0.0024026155
alpha033__lag_07,0.0023992688
alpha006__lag_56,0.0023986362
alpha013__lag_17,0.0023959826
alpha007__lag_57,0.0023843122
alpha041__lag_46,0.0023784994
alpha041__lag_47,0.002359195
alpha010__lag_19,0.0023589286
alpha101__lag_29,0.0023568615
alpha041__lag_05,0.002336238
alpha101__lag_05,0.002306671
alpha007__lag_55,0.0022999453
alpha009__lag_50,0.0022939807
alpha004__lag_02,0.0022912128
alpha004__lag_25,0.0022842905
alpha038__lag_39,0.0022815384
alpha011__lag_41,0.0022811142
alpha004__lag_54,0.0022737703
alpha002__lag_27,0.0022682946
alpha003__lag_24,0.0022681453
alpha005__lag_16,0.002265654
alpha022__lag_01,0.002265638
alpha043__lag_39,0.002264799
alpha040__lag_23,0.0022645732
alpha101__lag_33,0.0022548724
alpha041__lag_14,0.0022448616
alpha004__lag_53,0.0022323595
alpha002__lag_16,0.0022262791
alpha006__lag_50,0.0022213068
alpha003__lag_40,0.0022173666
alpha003__lag_13,0.0022089798
alpha011__lag_23,0.0022012328
alpha009__lag_31,0.002187399
alpha101__lag_19,0.0021813044
alpha011__lag_17,0.0021770888
alpha011__lag_16,0.0021716638
alpha005__lag_54,0.0021680165
alpha040__lag_19,0.0021561293
alpha040__lag_57,0.0021400377
alpha002__lag_28,0.0021310567
alpha009__lag_24,0.0021223833
alpha041__lag_10,0.0021156648
alpha041__lag_21,0.0021036782
alpha004__lag_44,0.002100527
alpha040__lag_37,0.0020834596
alpha038__lag_14,0.0020822042
alpha003__lag_48,0.00208148
alpha012__lag_00,0.0020684428
alpha043__lag_23,0.0020573665
alpha002__lag_38,0.0020561924
alpha004__lag_01,0.002049096
alpha005__lag_06,0.0020406686
alpha012__lag_15,0.00202808
alpha009__lag_23,0.002026115
alpha010__lag_05,0.002006893
alpha012__lag_13,0.0020041866
alpha004__lag_31,0.0019851765
alpha043__lag_22,0.0019643935
alpha005__lag_32,0.0019526978
alpha003__lag_47,0.0019486486
alpha018__lag_47,0.0019483482
alpha006__lag_09,0.001944358
alpha005__lag_53,0.001942733
alpha011__lag_29,0.0019375794
alpha007__lag_18,0.0019187618
alpha012__lag_53,0.0019166566
alpha011__lag_04,0.001893702
alpha040__lag_51,0.0018871623
alpha038__lag_43,0.001884277
alpha011__lag_51,0.0018835827
alpha012__lag_29,0.0018822344
alpha013__lag_42,0.001875886
alpha002__lag_49,0.0018699913
alpha022__lag_36,0.0018689922
alpha007__lag_14,0.001862884
alpha004__lag_52,0.0018618417
alpha007__lag_48,0.0018545409
alpha033__lag_27,0.0018516389
alpha009__lag_20,0.0018456312
alpha013__lag_41,0.0018278738
alpha011__lag_22,0.0018211656
alpha014__lag_54,0.0018180998
alpha040__lag_38,0.0018144753
alpha038__lag_53,0.0018144649
alpha003__lag_07,0.0018115127
alpha012__lag_14,0.001790176
alpha003__lag_20,0.0017898532
alpha038__lag_48,0.0017865169
alpha006__lag_49,0.0017767174
alpha014__lag_09,0.001776397
alpha012__lag_01,0.0017715952
alpha013__lag_22,0.0017511096
alpha040__lag_26,0.0017496363
alpha022__lag_47,0.0017474524
alpha022__lag_04,0.0017451702
alpha014__lag_37,0.0017420403
alpha041__lag_28,0.0017346349
alpha007__lag_46,0.0017332806
alpha005__lag_38,0.0017305512
alpha002__lag_13,0.0017250594
alpha009__lag_09,0.00171497
alpha013__lag_34,0.0017143263
alpha002__lag_33,0.001713854
alpha012__lag_37,0.0017119191
alpha009__lag_18,0.0017059776
alpha002__lag_23,0.0016998162
alpha101__lag_35,0.0016932864
alpha041__lag_41,0.0016870976
alpha018__lag_53,0.0016856141
alpha014__lag_13,0.0016775235
alpha014__lag_36,0.0016699537
alpha010__lag_23,0.0016642275
alpha007__lag_54,0.0016602671
alpha012__lag_38,0.0016569548
alpha007__lag_44,0.0016457972
alpha009__lag_34,0.0016340546
alpha009__lag_15,0.0016287767
alpha033__lag_26,0.0016260844
alpha013__lag_51,0.0016178462
alpha009__lag_29,0.0016168822
alpha014__lag_52,0.0015749115
alpha004__lag_22,0.001559659
alpha022__lag_11,0.0015583275
alpha014__lag_50,0.0015540821
alpha011__lag_18,0.0015486615
alpha007__lag_13,0.0015461138
alpha006__lag_58,0.0015442193
alpha009__lag_52,0.001537801
alpha011__lag_54,0.001529086
alpha003__lag_27,0.0014860765
alpha012__lag_56,0.0014845595
alpha003__lag_57,0.0014838603
alpha040__lag_15,0.0014830547
alpha018__lag_11,0.0014825807
alpha007__lag_29,0.0014697012
alpha007__lag_10,0.001464053
alpha101__lag_15,0.0014602348
alpha041__lag_33,0.00145941
alpha040__lag_09,0.0014550424
alpha011__lag_56,0.0014411841
alpha012__lag_34,0.0014176444
alpha043__lag_41,0.001414861
alpha006__lag_14,0.0014022808
alpha006__lag_16,0.0013700231
alpha002__lag_30,0.0013687338
alpha041__lag_40,0.0013651472
alpha018__lag_50,0.001359497
alpha014__lag_26,0.0013553969
alpha041__lag_23,0.0013431447
alpha013__lag_20,0.001339207
alpha022__lag_38,0.0012987541
alpha011__lag_10,0.001297736
alpha006__lag_28,0.0012808975
alpha041__lag_18,0.0012665971
alpha040__lag_31,0.0012483622
alpha014__lag_10,0.001243972
alpha002__lag_06,0.0012177846
alpha011__lag_01,0.0012020953
alpha043__lag_36,0.0011997202
alpha043__lag_32,0.0011900597
alpha002__lag_20,0.0011838258
alpha013__lag_39,0.0011830906
alpha014__lag_20,0.0011825708
alpha040__lag_06,0.0011671999
alpha041__lag_07,0.0011592417
alpha012__lag_17,0.0011527956
alpha018__lag_16,0.0011475784
alpha010__lag_00,0.0011468752
alpha101__lag_12,0.0011463037
alpha007__lag_43,0.0011457998
alpha018__lag_31,0.0011424135
alpha033__lag_52,0.0011276178
alpha005__lag_52,0.0010943989
alpha006__lag_44,0.0010826179
alpha022__lag_31,0.001079014
alpha043__lag_09,0.0010698425
alpha038__lag_06,0.0010617841
alpha018__lag_56,0.0010608964
alpha011__lag_05,0.001046509
alpha043__lag_00,0.0010401924
alpha011__lag_58,0.0010384314
alpha043__lag_07,0.0010353897
alpha004__lag_11,0.0010292825
alpha014__lag_58,0.0010187478
alpha003__lag_08,0.0010097077
alpha038__lag_32,0.0010048347
alpha022__lag_58,0.0009925828
alpha043__lag_08,0.0009823717
alpha007__lag_28,0.0009823667
alpha009__lag_03,0.00097525486
alpha012__lag_23,0.0009711764
alpha005__lag_47,0.00096200797
alpha010__lag_01,0.0009400512
alpha007__lag_03,0.00093586167
alpha040__lag_35,0.0009333375
alpha002__lag_52,0.00092673465
alpha013__lag_18,0.00091653684
alpha002__lag_51,0.0009142284
alpha012__lag_22,0.000908072
alpha101__lag_44,0.0009033162
alpha011__lag_46,0.00089790503
alpha005__lag_44,0.00089481025
alpha011__lag_47,0.00089336594
alpha041__lag_04,0.00088014937
alpha040__lag_14,0.00088002085
alpha006__lag_11,0.0008681928
alpha011__lag_55,0.00084993936
alpha009__lag_05,0.00082659576
alpha033__lag_38,0.00082114164
alpha005__lag_13,0.0007998671
alpha022__lag_05,0.00079300004
alpha040__lag_32,0.0007602759
alpha014__lag_31,0.00072623906
alpha005__lag_33,0.0007115955
alpha009__lag_54,0.000710858
alpha022__lag_08,0.0007065639
alpha033__lag_00,0.0006669796
alpha011__lag_09,0.0006625888
alpha006__lag_22,0.000652102
alpha012__lag_32,0.0006512875
alpha040__lag_36,0.00061599276
alpha013__lag_24,0.0005933707
alpha038__lag_59,0.00059285056
alpha012__lag_20,0.0005734991
alpha005__lag_09,0.0005277779
alpha007__lag_21,0.00052370236
alpha013__lag_32,0.0005168956
alpha012__lag_02,0.0005077042
alpha011__lag_12,0.0004994273
alpha003__lag_03,0.00046366
alpha040__lag_08,0.00046202628
alpha009__lag_37,0.00044279153
alpha010__lag_20,0.00044023644
alpha004__lag_16,0.00043445823
alpha012__lag_41,0.00042125193
alpha002__lag_12,0.00040631846
alpha018__lag_39,0.00039670375
alpha022__lag_06,0.00035673167
alpha014__lag_25,0.000355799
alpha005__lag_17,0.0003201597
alpha007__lag_40,0.00029936084
alpha013__lag_36,0.00028690053
alpha038__lag_35,0.00027034027
alpha005__lag_07,0.00026786714
alpha012__lag_03,0.00023576274
alpha011__lag_40,0.00021536264
alpha009__lag_10,0.00019333592
alpha007__lag_01,0.00018039063
alpha013__lag_12,0.00014788535
alpha040__lag_00,0.00011144701
alpha011__lag_06,9.626441e-05
alpha012__lag_21,8.980213e-05
alpha010__lag_11,8.6001955e-06
alpha009__lag_11,8.311252e-06
alpha011__lag_00,1.9623246e-06
alpha033__lag_15,0.0
alpha022__lag_15,0.0
alpha006__lag_17,0.0
alpha004__lag_17,0.0
alpha003__lag_17,0.0
alpha101__lag_16,0.0
alpha043__lag_16,0.0
alpha041__lag_16,0.0
alpha040__lag_16,0.0
alpha038__lag_16,0.0
alpha033__lag_16,0.0
alpha022__lag_16,0.0
alpha014__lag_16,0.0
alpha013__lag_16,0.0
alpha002__lag_18,0.0
alpha101__lag_17,0.0
alpha043__lag_17,0.0
alpha041__lag_17,0.0
alpha040__lag_17,0.0
alpha033__lag_17,0.0
alpha022__lag_17,0.0
alpha018__lag_17,0.0
alpha014__lag_17,0.0
alpha010__lag_17,0.0
alpha009__lag_17,0.0
alpha007__lag_17,0.0
alpha040__lag_18,0.0
alpha038__lag_18,0.0
alpha033__lag_18,0.0
alpha022__lag_18,0.0
alpha018__lag_18,0.0
alpha014__lag_18,0.0
alpha012__lag_18,0.0
alpha010__lag_18,0.0
alpha003__lag_18,0.0
alpha033__lag_19,0.0
alpha022__lag_19,0.0
alpha018__lag_19,0.0
alpha014__lag_19,0.0
alpha012__lag_19,0.0
alpha011__lag_19,0.0
alpha009__lag_19,0.0
alpha007__lag_19,0.0
alpha006__lag_19,0.0
alpha005__lag_19,0.0
alpha003__lag_19,0.0
alpha002__lag_19,0.0
alpha101__lag_18,0.0
alpha043__lag_18,0.0
alpha011__lag_20,0.0
alpha007__lag_20,0.0
alpha005__lag_20,0.0
alpha004__lag_20,0.0
alpha043__lag_19,0.0
alpha038__lag_19,0.0
alpha009__lag_21,0.0
alpha006__lag_21,0.0
alpha005__lag_21,0.0
alpha004__lag_21,0.0
alpha002__lag_21,0.0
alpha101__lag_20,0.0
alpha043__lag_20,0.0
alpha041__lag_20,0.0
alpha040__lag_20,0.0
alpha038__lag_20,0.0
alpha033__lag_20,0.0
alpha022__lag_20,0.0
alpha018__lag_20,0.0
alpha003__lag_22,0.0
alpha002__lag_22,0.0
alpha101__lag_21,0.0
alpha043__lag_21,0.0
alpha040__lag_21,0.0
alpha038__lag_21,0.0
alpha033__lag_21,0.0
alpha022__lag_21,0.0
alpha018__lag_21,0.0
alpha014__lag_21,0.0
alpha013__lag_21,0.0
alpha011__lag_21,0.0
alpha010__lag_21,0.0
alpha101__lag_22,0.0
alpha041__lag_22,0.0
alpha040__lag_22,0.0
alpha038__lag_22,0.0
alpha033__lag_22,0.0
alpha022__lag_22,0.0
alpha018__lag_22,0.0
alpha014__lag_22,0.0
alpha010__lag_22,0.0
alpha007__lag_22,0.0
alpha038__lag_23,0.0
alpha033__lag_23,0.0
alpha022__lag_23,0.0
alpha018__lag_23,0.0
alpha014__lag_23,0.0
alpha013__lag_23,0.0
alpha006__lag_23,0.0
alpha005__lag_23,0.0
alpha004__lag_23,0.0
alpha003__lag_23,0.0
alpha022__lag_24,0.0
alpha018__lag_24,0.0
alpha014__lag_24,0.0
alpha012__lag_24,0.0
alpha010__lag_24,0.0
alpha007__lag_24,0.0
alpha006__lag_24,0.0
alpha005__lag_24,0.0
alpha004__lag_24,0.0
alpha002__lag_24,0.0
alpha101__lag_23,0.0
alpha012__lag_25,0.0
alpha011__lag_25,0.0
alpha010__lag_25,0.0
alpha009__lag_25,0.0
alpha007__lag_25,0.0
alpha006__lag_25,0.0
alpha005__lag_25,0.0
alpha003__lag_25,0.0
alpha002__lag_25,0.0
alpha043__lag_24,0.0
alpha041__lag_24,0.0
alpha038__lag_24,0.0
alpha033__lag_24,0.0
alpha002__lag_03,0.0
alpha101__lag_02,0.0
alpha043__lag_02,0.0
alpha041__lag_02,0.0
alpha040__lag_02,0.0
alpha038__lag_02,0.0
alpha033__lag_02,0.0
alpha022__lag_02,0.0
alpha018__lag_02,0.0
alpha014__lag_02,0.0
alpha013__lag_02,0.0
alpha011__lag_02,0.0
alpha013__lag_25,0.0
alpha011__lag_26,0.0
alpha009__lag_26,0.0
alpha007__lag_26,0.0
alpha003__lag_26,0.0
alpha101__lag_25,0.0
alpha043__lag_25,0.0
alpha041__lag_25,0.0
alpha040__lag_25,0.0
alpha038__lag_25,0.0
alpha033__lag_25,0.0
alpha022__lag_25,0.0
alpha018__lag_25,0.0
alpha005__lag_03,0.0
alpha006__lag_27,0.0
alpha005__lag_27,0.0
alpha004__lag_27,0.0
alpha101__lag_26,0.0
alpha043__lag_26,0.0
alpha041__lag_26,0.0
alpha038__lag_26,0.0
alpha022__lag_26,0.0
alpha018__lag_26,0.0
alpha013__lag_26,0.0
alpha012__lag_26,0.0
alpha004__lag_28,0.0
alpha101__lag_27,0.0
alpha043__lag_27,0.0
alpha041__lag_27,0.0
alpha040__lag_27,0.0
alpha022__lag_27,0.0
alpha018__lag_27,0.0
alpha014__lag_27,0.0
alpha013__lag_27,0.0
alpha012__lag_27,0.0
alpha011__lag_27,0.0
alpha010__lag_27,0.0
alpha009__lag_27,0.0
alpha007__lag_27,0.0
alpha043__lag_28,0.0
alpha040__lag_28,0.0
alpha022__lag_28,0.0
alpha018__lag_28,0.0
alpha014__lag_28,0.0
alpha013__lag_28,0.0
alpha012__lag_28,0.0
alpha011__lag_28,0.0
alpha010__lag_28,0.0
alpha009__lag_28,0.0
alpha005__lag_28,0.0
alpha033__lag_29,0.0
alpha022__lag_29,0.0
alpha014__lag_29,0.0
alpha013__lag_29,0.0
alpha010__lag_29,0.0
alpha006__lag_29,0.0
alpha005__lag_29,0.0
alpha004__lag_29,0.0
alpha003__lag_29,0.0
alpha002__lag_29,0.0
alpha101__lag_28,0.0
alpha013__lag_30,0.0
alpha012__lag_30,0.0
alpha011__lag_30,0.0
alpha010__lag_30,0.0
alpha009__lag_30,0.0
alpha006__lag_30,0.0
alpha005__lag_30,0.0
alpha004__lag_30,0.0
alpha003__lag_30,0.0
alpha043__lag_29,0.0
alpha041__lag_29,0.0
alpha040__lag_29,0.0
alpha038__lag_29,0.0
alpha010__lag_31,0.0
alpha006__lag_31,0.0
alpha005__lag_31,0.0
alpha038__lag_00,0.0
alpha003__lag_31,0.0
alpha002__lag_31,0.0
alpha101__lag_30,0.0
alpha043__lag_30,0.0
alpha041__lag_30,0.0
alpha040__lag_30,0.0
alpha002__lag_00,0.0
alpha033__lag_30,0.0
alpha022__lag_30,0.0
alpha018__lag_30,0.0
alpha006__lag_00,0.0
alpha007__lag_32,0.0
alpha006__lag_32,0.0
alpha013__lag_00,0.0
alpha004__lag_32,0.0
alpha003__lag_32,0.0
alpha002__lag_32,0.0
alpha101__lag_31,0.0
alpha041__lag_31,0.0
alpha014__lag_00,0.0
alpha033__lag_31,0.0
alpha018__lag_00,0.0
alpha009__lag_58,0.0
alpha002__lag_58,0.0
alpha013__lag_31,0.0
alpha012__lag_31,0.0
alpha011__lag_31,0.0
alpha003__lag_33,0.0
alpha101__lag_57,0.0
alpha101__lag_32,0.0
alpha043__lag_57,0.0
alpha041__lag_32,0.0
alpha041__lag_57,0.0
alpha033__lag_57,0.0
alpha033__lag_32,0.0
alpha022__lag_32,0.0
alpha018__lag_32,0.0
alpha018__lag_57,0.0
alpha014__lag_01,0.0
alpha013__lag_01,0.0
alpha011__lag_32,0.0
alpha010__lag_32,0.0
alpha009__lag_32,0.0
alpha101__lag_03,0.0
alpha041__lag_03,0.0
alpha040__lag_33,0.0
alpha038__lag_33,0.0
alpha033__lag_33,0.0
alpha022__lag_33,0.0
alpha018__lag_33,0.0
alpha014__lag_33,0.0
alpha013__lag_33,0.0
alpha012__lag_33,0.0
alpha011__lag_33,0.0
alpha010__lag_33,0.0
alpha009__lag_33,0.0
alpha006__lag_33,0.0
alpha040__lag_03,0.0
alpha038__lag_03,0.0
alpha038__lag_34,0.0
alpha033__lag_03,0.0
alpha022__lag_34,0.0
alpha018__lag_34,0.0
alpha014__lag_34,0.0
alpha022__lag_03,0.0
alpha018__lag_03,0.0
alpha011__lag_34,0.0
alpha010__lag_34,0.0
alpha014__lag_03,0.0
alpha007__lag_34,0.0
alpha006__lag_34,0.0
alpha005__lag_34,0.0
alpha003__lag_34,0.0
alpha002__lag_34,0.0
alpha011__lag_03,0.0
alpha018__lag_35,0.0
alpha014__lag_35,0.0
alpha013__lag_35,0.0
alpha012__lag_35,0.0
alpha010__lag_35,0.0
alpha009__lag_35,0.0
alpha007__lag_35,0.0
alpha006__lag_35,0.0
alpha005__lag_35,0.0
alpha004__lag_35,0.0
alpha003__lag_35,0.0
alpha002__lag_35,0.0
alpha010__lag_03,0.0
alpha043__lag_34,0.0
alpha041__lag_34,0.0
alpha040__lag_34,0.0
alpha012__lag_36,0.0
alpha011__lag_36,0.0
alpha010__lag_36,0.0
alpha009__lag_36,0.0
alpha006__lag_03,0.0
alpha033__lag_04,0.0
alpha004__lag_36,0.0
alpha003__lag_36,0.0
alpha002__lag_36,0.0
alpha018__lag_04,0.0
alpha043__lag_35,0.0
alpha041__lag_35,0.0
alpha014__lag_04,0.0
alpha013__lag_04,0.0
alpha033__lag_35,0.0
alpha022__lag_35,0.0
alpha012__lag_04,0.0
alpha007__lag_37,0.0
alpha006__lag_37,0.0
alpha004__lag_37,0.0
alpha003__lag_37,0.0
alpha002__lag_37,0.0
alpha101__lag_36,0.0
alpha010__lag_04,0.0
alpha041__lag_36,0.0
alpha009__lag_04,0.0
alpha038__lag_36,0.0
alpha033__lag_36,0.0
alpha007__lag_04,0.0
alpha018__lag_36,0.0
alpha006__lag_04,0.0
alpha004__lag_04,0.0
alpha003__lag_04,0.0
alpha003__lag_38,0.0
alpha002__lag_04,0.0
alpha101__lag_37,0.0
alpha043__lag_37,0.0
alpha041__lag_37,0.0
alpha018__lag_05,0.0
alpha038__lag_37,0.0
alpha033__lag_37,0.0
alpha022__lag_37,0.0
alpha018__lag_37,0.0
alpha014__lag_05,0.0
alpha013__lag_37,0.0
alpha013__lag_05,0.0
alpha011__lag_37,0.0
alpha010__lag_37,0.0
alpha012__lag_05,0.0
alpha041__lag_38,0.0
alpha006__lag_05,0.0
alpha038__lag_38,0.0
alpha005__lag_05,0.0
alpha004__lag_05,0.0
alpha018__lag_38,0.0
alpha014__lag_38,0.0
alpha013__lag_38,0.0
alpha003__lag_05,0.0
alpha011__lag_38,0.0
alpha010__lag_38,0.0
alpha009__lag_38,0.0
alpha002__lag_05,0.0
alpha006__lag_38,0.0
alpha101__lag_04,0.0
alpha033__lag_39,0.0
alpha043__lag_04,0.0
alpha040__lag_04,0.0
alpha014__lag_39,0.0
alpha010__lag_06,0.0
alpha012__lag_39,0.0
alpha011__lag_39,0.0
alpha010__lag_39,0.0
alpha009__lag_39,0.0
alpha007__lag_39,0.0
alpha006__lag_39,0.0
alpha005__lag_39,0.0
alpha004__lag_39,0.0
alpha003__lag_39,0.0
alpha009__lag_06,0.0
alpha007__lag_06,0.0
alpha013__lag_40,0.0
alpha012__lag_40,0.0
alpha006__lag_06,0.0
alpha010__lag_40,0.0
alpha004__lag_06,0.0
alpha003__lag_06,0.0
alpha006__lag_40,0.0
alpha005__lag_40,0.0
alpha004__lag_40,0.0
alpha043__lag_05,0.0
alpha040__lag_05,0.0
alpha101__lag_39,0.0
alpha038__lag_05,0.0
alpha041__lag_39,0.0
alpha040__lag_39,0.0
alpha033__lag_05,0.0
alpha007__lag_07,0.0
alpha002__lag_07,0.0
alpha006__lag_41,0.0
alpha005__lag_41,0.0
alpha004__lag_41,0.0
alpha003__lag_41,0.0
alpha002__lag_41,0.0
alpha101__lag_40,0.0
alpha043__lag_40,0.0
alpha101__lag_06,0.0
alpha040__lag_40,0.0
alpha038__lag_40,0.0
alpha033__lag_40,0.0
alpha022__lag_40,0.0
alpha018__lag_40,0.0
alpha014__lag_40,0.0
alpha007__lag_42,0.0
alpha043__lag_06,0.0
alpha005__lag_42,0.0
alpha041__lag_06,0.0
alpha003__lag_42,0.0
alpha002__lag_42,0.0
alpha101__lag_41,0.0
alpha033__lag_06,0.0
alpha018__lag_06,0.0
alpha040__lag_41,0.0
alpha033__lag_41,0.0
alpha022__lag_41,0.0
alpha018__lag_41,0.0
alpha014__lag_41,0.0
alpha014__lag_06,0.0
alpha013__lag_06,0.0
alpha012__lag_06,0.0
alpha006__lag_02,0.0
alpha005__lag_02,0.0
alpha002__lag_08,0.0
alpha003__lag_02,0.0
alpha002__lag_02,0.0
alpha101__lag_07,0.0
alpha043__lag_01,0.0
alpha041__lag_01,0.0
alpha040__lag_01,0.0
alpha038__lag_01,0.0
alpha033__lag_01,0.0
alpha040__lag_07,0.0
alpha018__lag_01,0.0
alpha010__lag_42,0.0
alpha009__lag_42,0.0
alpha006__lag_43,0.0
alpha005__lag_43,0.0
alpha004__lag_43,0.0
alpha003__lag_43,0.0
alpha002__lag_43,0.0
alpha101__lag_42,0.0
alpha043__lag_42,0.0
alpha038__lag_07,0.0
alpha033__lag_42,0.0
alpha018__lag_42,0.0
alpha014__lag_42,0.0
alpha022__lag_07,0.0
alpha012__lag_42,0.0
alpha011__lag_42,0.0
alpha010__lag_02,0.0
alpha009__lag_02,0.0
alpha002__lag_44,0.0
alpha018__lag_07,0.0
alpha043__lag_43,0.0
alpha041__lag_43,0.0
alpha040__lag_43,0.0
alpha014__lag_07,0.0
alpha033__lag_43,0.0
alpha022__lag_43,0.0
alpha018__lag_43,0.0
alpha013__lag_07,0.0
alpha013__lag_43,0.0
alpha012__lag_43,0.0
alpha011__lag_43,0.0
alpha010__lag_43,0.0
alpha009__lag_43,0.0
alpha012__lag_07,0.0
alpha043__lag_44,0.0
alpha011__lag_07,0.0
alpha038__lag_44,0.0
alpha033__lag_44,0.0
alpha022__lag_44,0.0
alpha018__lag_44,0.0
alpha010__lag_07,0.0
alpha012__lag_44,0.0
alpha011__lag_44,0.0
alpha010__lag_44,0.0
alpha009__lag_44,0.0
alpha033__lag_08,0.0
alpha018__lag_08,0.0
alpha014__lag_08,0.0
alpha013__lag_08,0.0
alpha003__lag_44,0.0
alpha038__lag_45,0.0
alpha033__lag_45,0.0
alpha022__lag_45,0.0
alpha018__lag_45,0.0
